licence_number,designation,name,dba,status,structure,city,phone
A10-18-0000357-TEMP,"Adult-Use
Medicinal","PSAO, LLC","Palm Springs Associated
Organica",Active,"Limited Liability
Company",PALM SPRINGS,7602506477
A10-18-0000358-TEMP,"Adult-Use
Medicinal","Safe Harbor Patient's Collective, Inc.",,Active,Corporation,VAN NUYS,8189020015
A10-18-0000359-TEMP,Adult-Use,"CannaCruz, LLC",CannaCruz,Active,"Limited Liability
Company",SANTA CRUZ,8312067569
A10-18-0000360-TEMP,"Adult-Use
Medicinal","Accensus Group, LLC",Canna Trading Company,Active,"Limited Liability
Company",Weed,4152751925
A10-18-0000361-TEMP,"Adult-Use
Medicinal",Ycniuq Inc,Triple C Collective,Active,Corporation,CLEARLAKE,7077014160
A10-18-0000362-TEMP,"Adult-Use
Medicinal",Emerald Perspective Cooperative Inc,Emerald Perspective,Active,Corporation,PORT HUENEME,8053509874
A10-18-0000363-TEMP,"Adult-Use
Medicinal","PEACE OF GREEN, INC",,Active,Corporation,LOS ANGELES,3106503929
A10-18-0000365-TEMP,"Adult-Use
Medicinal","VALLEY GREENS RETAIL OULET, LP",March and Ash,Active,"Limited
Partnership",SAN DIEGO,6192554661
A10-18-0000366-TEMP,"Adult-Use
Medicinal",WE CARE CAT CITY,,Active,Corporation,CATHEDRAL CTY,2483186481
A10-18-0000367-TEMP,"Adult-Use
Medicinal",CannaBoutique Dispensary LLC,Two One Five Dispensary,Active,"Limited Liability
Company",EUREKA,3233849977
A10-18-0000368-TEMP,"Adult-Use
Medicinal",East Bay Therapeutics,,Active,Corporation,EMERYVILLE,9167574892
C10-18-0000001-TEMP,"Adult-Use
Medicinal",CANA,,Active,Corporation,MAYWOOD,4252684391
C10-18-0000002-TEMP,"Adult-Use
Medicinal","K.U.S.H. Alley Collective, Inc.",,Active,Corporation,NORTH HILLS,8188109642
C10-18-0000003-TEMP,"Adult-Use
Medicinal","DBO Investments PH, LLC",From The Earth,Active,"Limited Liability
Company",PORT HUENEME,8054141394
C10-18-0000004-TEMP,"Adult-Use
Medicinal",Southern California Collective,,Active,Corporation,LOS ANGELES,3232610671
C10-18-0000005-TEMP,Adult-Use,"Hueneme Patient Consumer Collective, LLC.",,Active,"Limited Liability
Company",PORT HUENEME,8052033016
C10-18-0000006-TEMP,"Adult-Use
Medicinal","Superior Herbal Health, LLC",,Active,"Limited Liability
Company",CHATSWORTH,3108013959
C10-18-0000007-TEMP,"Adult-Use
Medicinal","Ovest, LLC","Los Angeles Patients and
Caregivers Group",Active,"Limited Liability
Company",West Hollywood,3233266347
C10-18-0000008-TEMP,Medicinal,"Ukiah Valley Holistics, Inc",Cannavine,Active,Corporation,UKIAH,7075991831
C10-18-0000009-TEMP,"Adult-Use
Medicinal",MDS BUSINESS SERVICES LLC,THE PEOPLE'S REMEDY,Active,"Limited Liability
Company",Modesto,2093455360
C10-18-0000010-TEMP,"Adult-Use
Medicinal",Los Angeles Wellness Center,Erba,Active,Corporation,LOS ANGELES,3102071900
C10-18-0000011-TEMP,"Adult-Use
Medicinal",Ketama Cooperative,Non profit,Active,Corporation,SAN FRANCISCO,4158612451
C10-18-0000012-TEMP,"Adult-Use
Medicinal","PURPLE HEART COMPASSIONATE, INC.",,Active,Corporation,LOS ANGELES,9403001785
C10-18-0000013-TEMP,"Adult-Use
Medicinal","The Little Cottage Caregivers, LLC",Herbarium,Active,"Limited Liability
Company",W HOLLYWOOD,4246669868
C10-18-0000014-TEMP,"Adult-Use
Medicinal","Green Aid Recovery Group, INC.","Green Field Collective/High
Note LA",Active,Corporation,LOS ANGELES,7872472181
C10-18-0000015-TEMP,Medicinal,"Stockton Partners, Inc.",Zen Garden Wellness,Active,Corporation,STOCKTON,2098006452
C10-18-0000016-TEMP,"Adult-Use
Medicinal","ORGANIC CENTURY FARMACY, INC.",,Active,Corporation,VALLEY VLG,8188651700
C10-18-0000017-TEMP,"Adult-Use
Medicinal",THE NATURAL WAY OF LA,ROYAL GREENS,Active,Corporation,Los Angeles,2133809200
C10-18-0000018-TEMP,"Adult-Use
Medicinal",HAH 1 LLC,Have a Heart CC,Active,"Limited Liability
Company",Blythe,2068890583
C10-18-0000019-TEMP,"Adult-Use
Medicinal",MMC MANAGEMENT SERVICES LLC,THE PEOPLE'S REMEDY,Active,"Limited Liability
Company",OAKDALE,2093455360
C10-18-0000020-TEMP,"Adult-Use
Medicinal","DAVISVILLE BUSINESS ENTERPRISES, INC.",F Street Dispensary,Active,Corporation,DAVIS,5305743147
C10-18-0000021-TEMP,"Adult-Use
Medicinal","California Organic Treatment Center Inc., A California Non-Profit Corporation",,Active,Corporation,Los Angeles,4242309061
C10-18-0000022-TEMP,"Adult-Use
Medicinal","ESHD, Inc",Green Mammoth,Active,Corporation,MAMMOTH LAKES,
C10-18-0000023-TEMP,"Adult-Use
Medicinal","ECOCANN, INC","ECOCANN, INC",Active,,EUREKA,7075720850
C10-18-0000024-TEMP,"Adult-Use
Medicinal",HYPERION HEALING,,Active,Corporation,CHATSWORTH,3108934856
C10-18-0000025-TEMP,Medicinal,Medical Marijuana Caregivers Association,MMCA,Active,,CAMERON PARK,5306775362
C10-18-0000026-TEMP,"Adult-Use
Medicinal",Davis Cannabis Collective,"Davis Cannabis Collective
(DCC)",Active,Corporation,DAVIS,9162304466
C10-18-0000027-TEMP,"Adult-Use
Medicinal","Rishon, LLC","Cannabis Buyers Club of
Berkeley",Active,"Limited Liability
Company",Berkeley,3233266347
C10-18-0000028-TEMP,"Adult-Use
Medicinal",EARTH ESSENTIALS,Royal Highness,Active,"Limited Liability
Company",PALM DESERT,4422820656
C10-18-0000029-TEMP,Medicinal,"The Grove La Mesa, Inc.",The Grove,Active,Corporation,LA MESA,6193426500
C10-18-0000030-TEMP,"Adult-Use
Medicinal","NORTH COAST WELLBEING, INC.",Dragonfly Wellness Center,Active,Corporation,Fort Bragg,4155172833
C10-18-0000031-TEMP,"Adult-Use
Medicinal",California Grown,The Kana Company,Active,Corporation,Davis,9168656474
C10-18-0000032-TEMP,Medicinal,Central Valley - Sierra Associates,,Active,,PATTERSON,2096067913
C10-18-0000033-TEMP,"Adult-Use
Medicinal",WONDERLAND OASIS INC,,Active,,PACOIMA,8182168217
C10-18-0000034-TEMP,"Adult-Use
Medicinal",J@G ENTERPRISES INC,SYNERGY,Active,Corporation,REDDING,5309490501
C10-18-0000035-TEMP,"Adult-Use
Medicinal","Healing Harvest Farms Collective, Inc.",,Active,Corporation,Laytonville,7079849174
C10-18-0000036-TEMP,Adult-Use,Lost Coast Botanical Cooperative,,Active,Corporation,WHITETHORN,7073834240
C10-18-0000037-TEMP,Medicinal,NHS COLLECTIVE,MMD of Long Beach,Active,Corporation,LONG BEACH,7148095076
C10-18-0000038-TEMP,"Adult-Use
Medicinal",HAH COALINGA LLC,Have a Heart CC,Active,"Limited Liability
Company",COALINGA,2068890583
C10-18-0000039-TEMP,"Adult-Use
Medicinal","WF Enterprises, Inc.",White Fire,Active,Corporation,SAN JOSE,4088493706
M10-17-0000009-TEMP,Medicinal,"GREEN AMERICA, INC.",Green America Inc,Active,Corporation,PERRIS,9512833282
M10-17-0000010-TEMP,Medicinal,"IE GARDENS, INC.","IE Gardens, Inc.",Active,Corporation,Perris,9515360816
M10-17-0000015-TEMP,"Adult-Use
Medicinal","MISSION ORGANIC CENTER, INC.",MISSION ORGANIC CENTER,Active,Corporation,SAN FRANCISCO,3102108791
M10-17-0000018-TEMP,"Adult-Use
Medicinal",FREEDOM 1ST ASSOCIATION,SKUNKMASTERS,Active,Corporation,PORT HUENEME,6302093432
M10-17-0000029-TEMP,Medicinal,"Mammoth Lakes Wellness, Inc.",,Active,Corporation,MAMMOTH LAKES,7609242299
M10-17-0000033-TEMP,"Adult-Use
Medicinal","AgMd Logistics, LLC.",Ojai Greens,Active,"Limited Liability
Company",OJAI,8056464420
M10-17-0000040-TEMP,"Adult-Use
Medicinal",OPG - Ontana Planet Green,OPG - Ontana Planet Green,Active,Corporation,Needles,7609033320
M10-17-0000041-TEMP,Medicinal,Tulare Alternative Relief Association,,Active,Corporation,TULARE,5596882001
M10-17-0000067-TEMP,"Adult-Use
Medicinal","TFA, inc.",Santa Cruz Mountain Herb,Active,Corporation,los gatos,4083531717
M10-17-0000104-TEMP,"Adult-Use
Medicinal","JET ROOM, INC.",,Active,Corporation,ADELANTO,9095313793
M10-17-0000108-TEMP,"Adult-Use
Medicinal",Life Enhancement Services,,Active,Corporation,VALLEJO,7076548842
M10-17-0000110-TEMP,Medicinal,Golden State Patient Care,,Active,"Sole
Proprietorship",Colfax,5302634921
M10-17-0000123-TEMP,Medicinal,"Alternate Health Collective Association, Inc.",Stone Age Farmacy,Active,Corporation,LONG BEACH,3106342542
M10-17-0000131-TEMP,"Adult-Use
Medicinal",Community Health Solutions,,Active,Corporation,Sacramento,9167127263
M10-17-0000132-TEMP,Medicinal,"ASG NORTH BAY, INC.",Redwood Herbal Alliance,Active,Corporation,LARKFIELD- WIKIUP,7075283632
M10-17-0000135-TEMP,"Adult-Use
Medicinal",Roseville Gold,Two Rivers Wellness,Active,Corporation,SACRAMENTO,9166000583
M10-17-0000139-TEMP,"Adult-Use
Medicinal","G.S.H.L.E., Inc.",Green Solutions,Active,Corporation,Sacramento,9166000583
M10-18-0000150-TEMP,Medicinal,"BCSF, Inc.",Barbary Coast,Active,Corporation,SAN FRANCISCO,4157930831
M10-18-0000153-TEMP,"Adult-Use
Medicinal",Sespe Creek Collective Inc.,,Active,Corporation,OJAI,8557229333
M10-18-0000159-TEMP,Medicinal,"Organic Cannabis Foundation, LLC",Organicann,Active,"Limited Liability
Company",Santa Rosa,7075888811
M10-18-0000161-TEMP,Medicinal,"The Medicine Woman Group, LLC",,Active,"Limited Liability
Company",BELLFLOWER,9498873589
M10-18-0000162-TEMP,Medicinal,"Holistic, Inc.",,Active,Corporation,PERRIS,9515756530
M10-18-0000163-TEMP,"Adult-Use
Medicinal","California Naturopathic Agricultural
Association #7",Alpine Alternative,Active,Corporation,Sacramento,9162174053
M10-18-0000165-TEMP,Medicinal,"MattnJeremy, inc",One Love Beach Club,Active,Corporation,LONG BEACH,5623435388
M10-18-0000166-TEMP,Medicinal,Stockton Business Strategies,Connected Stockton,Active,Corporation,STOCKTON,2099370193
M10-18-0000169-TEMP,"Adult-Use
Medicinal",Team Handed Corporation,Patients Care Collective,Active,Corporation,BERKELEY,5105407878
M10-18-0000171-TEMP,"Adult-Use
Medicinal",HERITAGE HOLDING OF CALIFORNIA INC,Artifact,Active,Corporation,LAYTONVILLE,7078416023
M10-18-0000172-TEMP,"Adult-Use
Medicinal",HTP GROUP,,Active,Corporation,VALLEJO,7074842465
M10-18-0000175-TEMP,"Adult-Use
Medicinal",Highway 29 Healthcare,,Active,Corporation,VALLEJO,7076458303
M10-18-0000178-TEMP,Medicinal,"562 Discount Med, Inc.",Connected Belmont Shore,Active,Corporation,LONG BEACH,5623703780
M10-18-0000182-TEMP,"Adult-Use
Medicinal","SHANGRI LA CARE COOPERATIVE, INC.",,Active,Corporation,OJAI,8056406464
M10-18-0000185-TEMP,Medicinal,PORT CITY ALTERNATIVE,,Active,Corporation,STOCKTON,9162174053
M10-18-0000189-TEMP,Medicinal,"Organic Greens Collective, Inc.",,Active,Corporation,Goleta,8057700580
M10-18-0000191-TEMP,"Adult-Use
Medicinal",Natural Remedies Consulting,"NRC Holistic Health Services
Clinic",Active,Corporation,Modesto,2094046077
M10-18-0000193-TEMP,"Adult-Use
Medicinal",Bynate Cooperative Corporation,,Active,Corporation,Crowslanding,2095857699
M10-18-0000201-TEMP,"Adult-Use
Medicinal",V.H.H.C. LLC,,Active,"Limited Liability
Company",VALLEJO,4152980948
M10-18-0000202-TEMP,"Adult-Use
Medicinal",H STREET PATIENT CARE,,Active,Corporation,NEEDLES,8182629937
M10-18-0000203-TEMP,"Adult-Use
Medicinal",Sharp Source,THC,Active,Corporation,SACRAMENTO,9164764431
M10-18-0000206-TEMP,"Adult-Use
Medicinal",releaf Alternative Cooperative Inc,reLeaf,Active,Corporation,VALLEJO,9167302196
M10-18-0000207-TEMP,Medicinal,River City Wellness Pain Management,foothill health and wellness,Active,Corporation,SHINGLE SPRINGS,5306764532
M10-18-0000208-TEMP,Medicinal,"Green Gold Cultivators, Inc.",Green Gold Cultivators,Active,Corporation,San Andreas,2096748008
M10-18-0000211-TEMP,Medicinal,Mother Nature's Remedy,Mother Nature's Remedy,Active,Corporation,Woodland Hills,8184322243
M10-18-0000224-TEMP,Medicinal,"Riverside Wellness, Inc",,Active,Corporation,GUERNEVILLE,7078698008
M10-18-0000226-TEMP,"Adult-Use
Medicinal","OMEGA GROUP, INC.",,Active,Corporation,CATHEDRAL CITY,8182817080
M10-18-0000228-TEMP,Medicinal,"PF JOHNS, LLC",,Active,"Limited Liability
Company",PERRIS,3108834941
M10-18-0000237-TEMP,Medicinal,"CALAVERAS NATURALS, INC.",Calaveras Little Trees,Active,Corporation,ARNOLD,2098903647
M10-18-0000239-TEMP,"Adult-Use
Medicinal",WFARM1045 INC,The Westwood Farmacy,Active,Corporation,Los Angeles,3109825023
M10-18-0000241-TEMP,"Adult-Use
Medicinal","Med Thrive Cooperative, Inc.",MediThrive,Active,Corporation,SAN FRANCISCO,4157602264
M10-18-0000256-TEMP,"Adult-Use
Medicinal","Doctor Kush World Collective, Inc.",,Active,Corporation,LOS ANGELES,8182667744
M10-18-0000263-TEMP,Medicinal,Barbara Lee Perkins,,Active,"Sole
Proprietorship",TULARE,5596684420
M10-18-0000266-TEMP,"Adult-Use
Medicinal","ORGANIC GREEN TREATMENT CENTER, INC.",,Active,Corporation,LOS ANGELES,3237333644
M10-18-0000275-TEMP,Medicinal,"The Airport Collective, Inc.",ShowGrow,Active,Corporation,LONG BEACH,5304274163
M10-18-0000280-TEMP,"Adult-Use
Medicinal","Marina Caregivers' Cooperative, Inc.",,Active,Corporation,MARINA DEL REY,3105744000
M10-18-0000283-TEMP,"Adult-Use
Medicinal","Holistic Healing Alternative, Inc.",Greenwolf,Active,Corporation,Los Angeles,3236689390
M10-18-0000284-TEMP,"Adult-Use
Medicinal",CATHEDRAL CITY RELEAF,CITIDANK,Active,Corporation,CATHEDRAL CITY,8186190000
M10-18-0000289-TEMP,Medicinal,"SMH Resources, Inc.","Sonoma Medicinal Herbs
Patient to Patient Collective",Active,Corporation,SANTA ROSA,7075951823
M10-18-0000293-TEMP,"Adult-Use
Medicinal","Gourmet Green Room, Inc.",GGR,Active,Corporation,LOS ANGLES,6023125232
M10-18-0000297-TEMP,"Adult-Use
Medicinal",Patients Corp,Foothill Wellness Center,Active,Corporation,TUJUNGA,8183523388
M10-18-0000299-TEMP,"Adult-Use
Medicinal","Cantodiem Dispensing Collective, Inc.",,Active,Corporation,NORTH HOLLYWOOD,8188211209
M10-18-0000301-TEMP,Medicinal,Don Nick Fowler,,Active,"Sole
Proprietorship",EL SOBRANTE,5106583269
M10-18-0000302-TEMP,Medicinal,All Natural Inc.,medical marijuana dispensary,Active,Corporation,SHINGLE SPRINGS,5306764032
M10-18-0000305-TEMP,"Adult-Use
Medicinal","Greenhouse Organics, Inc.",The Greenhouse,Active,Corporation,LOS ANGELES,8183861343
M10-18-0000306-TEMP,Medicinal,"FIREHOUSE 64, INC.",,Active,Corporation,Perris,9519660634
M10-18-0000309-TEMP,"Adult-Use
Medicinal","New Apothecary, Inc.",Apothecary 420,Active,Corporation,LOS ANGELES,8189050420
M10-18-0000312-TEMP,"Adult-Use
Medicinal","Buds & Roses Collective, Inc",Buds & Roses,Active,Corporation,LOS ANGELES,8189078852
M10-18-0000326-TEMP,Medicinal,"ELEVATION 2477, LLC",,Active,"Limited Liability
Company",NEVADA CITY,5303201193
M10-18-0000331-TEMP,Medicinal,"SAN DIEGO NATURAL, INC.",,Active,Corporation,ESCONDIDO,6094624234
M10-18-0000332-TEMP,Medicinal,"CSBB, INC.",2 One 2 California,Active,Corporation,SAN FRANCISCO,4153730555
M10-18-0000333-TEMP,Medicinal,Highlands Health and Wellness Collective,"Highlands Health and
Wellness",Active,Corporation,Shingle Springs,9162137035
M10-18-0000338-TEMP,"Adult-Use
Medicinal",The Healing Center Needles,The Healing Center,Active,Corporation,Needles,2629942513
M10-18-0000344-TEMP,Medicinal,99 HIGHTIDE COLLECTIVE,99 High Tide,Active,Corporation,MALIBU,3104569930
M10-18-0000346-TEMP,"Adult-Use
Medicinal",805 Beach Breaks Inc,,Active,Corporation,GROVER BEACH,8058963777
M10-18-0000350-TEMP,Medicinal,Olive Tree Patients Association,"Olive Tree Patients Association, Olive Tree Wellness Center",Active,Corporation,RAMONA,6192065472
M10-18-0000352-TEMP,Medicinal,Malibu Community Collective,Malibu Community Collective,Active,"Limited Liability
Company",MALIBU,4246440640
M10-18-0000353-TEMP,Medicinal,"Adelanto Air Expressway, Inc.",Loud-N-Clear,Active,Corporation,ADELANTO,9093548047
M10-18-0000354-TEMP,Medicinal,Ketama Cooperative,,Active,Corporation,SAN FRANCISCO,4158612451
M10-18-0000363-TEMP,"Adult-Use
Medicinal",Natural Healing Center,,Active,"Limited Liability
Company",GROVER BEACH,2132725729
M10-18-0000365-TEMP,"Adult-Use
Medicinal",Harbor Managment Group LLC,Safe Port,Active,"Limited Liability
Company",Port Hueneme,8058273615
M10-18-0000366-TEMP,Medicinal,Chronic Pain Releaf Center,,Active,Corporation,LONG BEACH,8188238110
M10-18-0000368-TEMP,Medicinal,"L.B. Collective, Inc.",,Active,Corporation,LONG BEACH,7148095076
M10-18-0000377-TEMP,Medicinal,Emeraled Beach Care,,Active,Corporation,LONG BEACH,5622705454
M10-18-0000378-TEMP,Medicinal,Marin Alliance for Medical Marijuana,"Marin Alliance for Medical
Marijuana",Active,"Sole
Proprietorship",FAIRFAX,4152957633
M10-18-0000379-TEMP,"Adult-Use
Medicinal","PHSL, LLC",Sugarleaf Trading Company,Active,"Limited Liability
Company",Seaside,9168218955
M10-18-0000381-TEMP,Medicinal,Long Beach Wellness Center,,Active,Corporation,Long Beach,7148095076
M10-18-0000401-TEMP,"Adult-Use
Medicinal","CAPTAIN KIRK SERVICES, INC.",Airfield Supply Co.,Active,Corporation,San Jose,4085295875
M10-18-0000404-TEMP,Medicinal,"CAPS Apothecary, Inc.",,Active,Corporation,PALM SPRINGS,8182193572
M10-18-0000405-TEMP,"Adult-Use
Medicinal","Hueneme Patient Consumer Collective, LLC.","Hueneme Patient Consumer
Coop",Active,"Limited Liability
Company",PORT HUENEME,8054191257
M10-18-0000411-TEMP,"Adult-Use
Medicinal",The Bud Farmacy Corporation,,Active,Corporation,Needles,8182629937
M10-18-0000413-TEMP,"Adult-Use
Medicinal",BCOK INC,La Corona Wellness,Active,Corporation,SAN FRANCISCO,7088332088
M10-18-0000414-TEMP,Medicinal,Kanna inc.,,Active,Corporation,OAKLAND,9257052129
M10-18-0000416-TEMP,"Adult-Use
Medicinal",SO CAL MM PATIENTS ASSOCIATION,All About Bud,Active,Corporation,DSRT HOT SPGS,7606716466
M10-18-0000417-TEMP,Medicinal,"CANOPY CLUB, INC.",,Active,Corporation,SANTA BARBARA,8058952578
M10-18-0000421-TEMP,"Adult-Use
Medicinal","Venice Caregiver Foundation, Inc.",MedMen Abbot Kinney,Active,Corporation,VENICE,3234862787
